Image Name,Result,URL,Errors
1709277456400.webp,Rejected,https://cdn.abpweddings.com/documents/6137106578754c319149e39504bae6a8/1709277456400.webp,Bottom Face Error
1710266130007.webp,Rejected,https://cdn.abpweddings.com/documents/0d7f9f7753ba8109cb1cad8783aee06d/1710266130007.webp,Faces ≠ 1
1711634305241.webp,Rejected,https://cdn.abpweddings.com/documents/9a6766c59d80e5ba9ca5d1f32517ed96/1711634305241.webp,Faces ≠ 1
1707508325394.webp,Rejected,https://cdn.abpweddings.com/documents/4b02f7ff38322352ac84cfef30c3daf8/1707508325394.webp,Top Face Error; Bottom Face Error
1709982943720.webp,Rejected,https://cdn.abpweddings.com/documents/8eb4c5a24aae26631e08b368a48ad08f/1709982943720.webp,Faces ≠ 1
1708673790079.webp,Rejected,https://cdn.abpweddings.com/documents/9b5adb4b60d7a2384059fd97b66e5bc5/1708673790079.webp,Faces ≠ 1
1705548114585.webp,Rejected,https://cdn.abpweddings.com/documents/4bfd784c30fabef76b11ef7d071c984b/1705548114585.webp,Top Face Error
1709292462213.webp,Rejected,https://cdn.abpweddings.com/documents/a3659750494b04f391997895eb7d564c/1709292462213.webp,Faces ≠ 1
1710336888626.webp,Rejected,https://cdn.abpweddings.com/documents/2bfc0cf002cc5c88bac8dd50ae3f6fcb/1710336888626.webp,Top Face Error
1710364357519.webp,Rejected,https://cdn.abpweddings.com/documents/6996bc227b894d7da564b14d6d8f7543/1710364357519.webp,Faces ≠ 1
1708156586921.webp,Rejected,https://cdn.abpweddings.com/documents/f36cb5718042b66939f7acea8b0420c3/1708156586921.webp,Bottom Face Error
1707384050476.webp,Rejected,https://cdn.abpweddings.com/documents/4fb4d6ae90f48f17a802ba7395250202/1707384050476.webp,Top Face Error
1709277456400.webp,Rejected,https://cdn.abpweddings.com/documents/6137106578754c319149e39504bae6a8/1709277456400.webp,Bottom Face Error
1710266130007.webp,Rejected,https://cdn.abpweddings.com/documents/0d7f9f7753ba8109cb1cad8783aee06d/1710266130007.webp,Faces ≠ 1
1711634305241.webp,Rejected,https://cdn.abpweddings.com/documents/9a6766c59d80e5ba9ca5d1f32517ed96/1711634305241.webp,Faces ≠ 1
1707508325394.webp,Rejected,https://cdn.abpweddings.com/documents/4b02f7ff38322352ac84cfef30c3daf8/1707508325394.webp,Top Face Error; Bottom Face Error
1709982943720.webp,Rejected,https://cdn.abpweddings.com/documents/8eb4c5a24aae26631e08b368a48ad08f/1709982943720.webp,Faces ≠ 1
